id	effectiveTime	active	moduleId	sourceId	value	relationshipGroup	typeId	characteristicTypeId	modifierId
1201000003027	20240701	1	999991001000101	412334007	#1	0	1142139005	900000000000011006	900000000000451002
1251000003026	20240701	1	999991001000101	412334007	#1.5	1	1142135004	900000000000011006	900000000000451002
1261000003028	20240701	1	999991001000101	412334007	#1	1	1142136003	900000000000011006	900000000000451002
1541000003026	20240701	1	999991001000101	775851008	#1	0	1142139005	900000000000011006	900000000000451002
1811000003029	20240701	1	999991001000101	776580000	#1	0	1142139005	900000000000011006	900000000000451002
2581000003025	20240701	1	999991001000101	1010318006	#1	0	1142139005	900000000000011006	900000000000451002
2631000003028	20240701	1	999991001000101	1204422003	#1	0	1142139005	900000000000011006	900000000000451002
2681000003029	20240701	1	999991001000101	1204422003	#100000	1	1142135004	900000000000011006	900000000000451002
2691000003027	20240701	1	999991001000101	1204422003	#1	1	1142136003	900000000000011006	900000000000451002
2761000003028	20240701	1	999991001000101	324842002	#1	0	1142139005	900000000000011006	900000000000451002
2811000003022	20240701	1	999991001000101	324842002	#1	1	1142137007	900000000000011006	900000000000451002
2821000003029	20240701	1	999991001000101	324842002	#80	1	1142138002	900000000000011006	900000000000451002
3521000003021	20240701	1	999991001000101	346822000	#1	0	1142139005	900000000000011006	900000000000451002
3571000003020	20240701	1	999991001000101	346822000	#400	1	1142135004	900000000000011006	900000000000451002
3581000003022	20240701	1	999991001000101	346822000	#1	1	1142136003	900000000000011006	900000000000451002
4131000003028	20240701	1	999991001000101	1287810001	#1	0	1142139005	900000000000011006	900000000000451002
4181000003029	20240701	1	999991001000101	1287810001	#250	1	1142135004	900000000000011006	900000000000451002
4191000003027	20240701	1	999991001000101	1287810001	#1	1	1142136003	900000000000011006	900000000000451002
4371000003028	20240701	1	999991001000101	871722007	#1	0	1142139005	900000000000011006	900000000000451002
4781000003025	20240701	1	999991001000101	2181000221101	#1	0	1142139005	900000000000011006	900000000000451002
5001000003024	20240701	1	999991001000101	776689006	#1	0	1142139005	900000000000011006	900000000000451002
5561000003027	20240701	1	999991001000101	371667003	#1	0	1142139005	900000000000011006	900000000000451002
5611000003025	20240701	1	999991001000101	371667003	#1	1	1142137007	900000000000011006	900000000000451002
5621000003023	20240701	1	999991001000101	371667003	#25	1	1142138002	900000000000011006	900000000000451002
5701000003021	20240701	1	999991001000101	324471006	#1	0	1142139005	900000000000011006	900000000000451002
5751000003022	20240701	1	999991001000101	324471006	#50	1	1142135004	900000000000011006	900000000000451002
5761000003020	20240701	1	999991001000101	324471006	#1	1	1142136003	900000000000011006	900000000000451002
5811000003026	20240701	1	999991001000101	871765008	#1	0	1142139005	900000000000011006	900000000000451002
6841000003024	20240701	1	999991001000101	769281004	#1	0	1142139005	900000000000011006	900000000000451002
6891000003027	20240701	1	999991001000101	769281004	#1	1	1142137007	900000000000011006	900000000000451002
6901000003026	20240701	1	999991001000101	769281004	#5	1	1142138002	900000000000011006	900000000000451002
6941000003028	20240701	1	999991001000101	1197400002	#3	0	1142139005	900000000000011006	900000000000451002
